pickup_t,pickup_location_id,dropoff_t,dropoff_location_id,trip_distance,fare_amount,mta_tax,tolls_amount,tip_amount,total_amount,extra,trip_time
0.0,95,1.0,82,1.73,9.5,0.5,0.0,0.0,10.8,0.8000000000000007,11.166666666666666
1.0,82,2.0,102,2.72,11.0,0.5,0.0,0.0,12.3,0.8000000000000007,10.433333333333334
5.0,82,5.0,56,1.04,5.5,0.5,0.0,1.7,8.5,0.7999999999999998,5.016666666666666
0.0,17,1.0,61,2.09,9.0,0.5,0.0,2.0,14.25,2.75,9.283333333333333
0.0,82,0.0,83,1.01,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.216666666666667
0.0,181,1.0,17,3.09,11.5,0.5,0.0,0.0,12.8,0.8000000000000007,11.9
0.0,181,0.0,25,1.08,5.5,0.5,0.0,1.36,8.16,0.7999999999999998,4.800000000000001
0.0,223,0.0,260,2.78,10.0,0.5,0.0,0.0,11.3,0.8000000000000007,7.4
0.0,242,135.0,182,1.34,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,1351.7666666666667
0.0,74,1.0,262,2.3,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,11.316666666666666
0.0,97,0.0,225,2.31,9.0,0.5,0.0,1.7,12.0,0.8000000000000007,8.266666666666667
3.0,17,3.0,61,1.04,5.0,0.5,0.0,1.58,7.88,0.7999999999999998,2.4166666666666714
0.0,260,0.0,179,3.53,11.5,0.5,0.0,0.0,12.8,0.8000000000000007,7.966666666666666
0.0,95,0.0,135,1.39,7.0,0.5,0.0,2.08,10.38,0.8000000000000007,6.1499999999999995
0.0,40,1.0,181,1.97,9.5,0.5,0.0,0.0,10.8,0.8000000000000007,10.45
0.0,189,1.0,225,2.91,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,14.166666666666668
0.0,65,1.0,257,3.07,11.0,0.5,0.0,3.69,15.99,0.8000000000000007,10.45
0.0,82,1.0,95,2.53,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,11.616666666666667
0.0,82,0.0,129,0.72,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.966666666666667
0.0,179,1.0,179,0.8,5.5,0.5,0.0,1.36,8.16,0.7999999999999998,4.749999999999999
0.0,134,1.0,132,4.42,14.0,0.5,0.0,0.0,15.3,0.8000000000000007,7.766666666666666
1.0,166,2.0,74,1.36,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,6.350000000000001
0.0,146,1.0,7,1.23,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,4.399999999999999
0.0,80,0.0,255,0.42,3.5,0.5,0.0,0.0,4.8,0.7999999999999998,1.9
5.0,80,6.0,97,3.85,14.5,0.5,0.0,3.16,18.96,0.8000000000000007,14.149999999999991
2.0,33,4.0,13,5.06,19.0,0.5,0.0,1.0,21.3,0.8000000000000007,21.133333333333336
2.0,97,3.0,61,1.9,8.5,0.5,0.0,0.0,9.8,0.8000000000000007,8.100000000000001
0.0,65,2.0,181,2.6,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,15.216666666666665
3.0,97,4.0,181,1.08,5.5,0.5,0.0,1.2,8.0,0.7999999999999998,4.583333333333329
6.0,25,6.0,97,1.51,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,8.0
0.0,179,1.0,179,0.8,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.7333333333333325
0.0,223,1.0,223,1.03,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.033333333333333
