pickup_t,pickup_location_id,dropoff_t,dropoff_location_id,trip_distance,fare_amount,mta_tax,tolls_amount,tip_amount,total_amount,extra,trip_time
0.0,260,0.0,226,0.63,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.6333333333333337
0.0,92,0.0,92,0.39,3.5,0.5,0.0,0.0,4.8,0.7999999999999998,2.3333333333333335
0.0,130,2.0,205,3.69,13.5,0.5,0.0,0.0,14.8,0.8000000000000007,14.45
0.0,210,0.0,29,1.0,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.0
0.0,92,2.0,164,10.02,28.5,0.5,5.76,6.0,41.56,0.8000000000000043,19.783333333333335
0.0,95,0.0,95,0.81,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.6333333333333333
0.0,62,2.0,37,3.74,15.5,0.5,0.0,0.0,16.8,0.8000000000000007,19.26666666666667
0.0,134,1.0,101,8.36,24.0,0.5,0.0,0.0,25.3,0.8000000000000007,14.783333333333333
0.0,82,0.0,82,1.8,8.5,0.5,0.0,0.0,9.8,0.8000000000000007,8.883333333333333
0.0,82,0.0,129,1.16,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,8.25
0.0,97,0.0,66,1.21,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,7.0166666666666675
0.0,255,0.0,80,1.2,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.4833333333333325
0.0,7,1.0,223,1.93,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,7.016666666666666
0.0,130,1.0,122,3.02,11.5,0.5,0.0,2.56,15.36,0.7999999999999989,10.450000000000001
0.0,75,0.0,24,1.63,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,5.933333333333334
0.0,149,0.0,21,0.44,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,7.133333333333334
0.0,146,1.0,7,1.38,7.0,0.5,0.0,1.24,11.49,2.75,7.466666666666667
0.0,223,1.0,83,2.61,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,10.283333333333333
0.0,41,0.0,264,0.72,4.5,0.5,0.0,1.16,6.96,0.7999999999999998,0.0
0.0,7,2.0,163,4.21,15.5,0.5,0.0,0.0,16.8,0.8000000000000007,16.883333333333333
2.0,256,2.0,256,0.2,3.0,0.5,0.0,0.0,4.3,0.7999999999999998,1.0
4.0,145,4.0,112,1.09,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.366666666666667
1.0,108,1.0,21,1.61,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.283333333333335
1.0,255,1.0,112,0.94,5.0,0.5,0.0,1.26,7.56,0.7999999999999998,3.4833333333333343
