pickup_t,pickup_location_id,dropoff_t,dropoff_location_id,trip_distance,fare_amount,mta_tax,tolls_amount,tip_amount,total_amount,extra,trip_time
5.0,127,5.0,127,0.7,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.783333333333331
2.0,255,4.0,61,3.01,12.5,0.5,0.0,2.76,16.56,0.7999999999999989,13.716666666666665
2.0,255,4.0,225,3.0,15.0,0.5,0.0,0.81,17.11,0.8000000000000007,21.049999999999997
1.0,244,2.0,42,1.3,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,5.800000000000001
5.0,41,8.0,127,5.6,8.0,0.0,0.0,0.0,8.0,0.0,28.016666666666666
2.0,65,2.0,97,1.09,6.0,0.5,0.0,1.46,8.76,0.7999999999999998,5.333333333333336
4.0,65,6.0,95,9.3,26.0,0.5,0.0,5.46,32.76,0.7999999999999972,13.916666666666671
0.0,97,0.0,189,1.45,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,5.733333333333333
3.0,49,3.0,49,0.85,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.050000000000001
0.0,42,1.0,237,4.98,16.5,0.5,0.0,2.2,20.0,0.8000000000000007,13.999999999999998
3.0,41,3.0,41,0.77,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.56666666666667
1.0,7,3.0,28,9.2,26.0,0.5,0.0,5.45,32.75,0.8000000000000007,17.666666666666664
2.0,41,3.0,48,5.97,19.0,0.5,0.0,0.0,20.3,0.8000000000000007,13.666666666666664
0.0,80,2.0,37,2.9,13.0,0.5,0.0,0.0,14.3,0.8000000000000007,17.683333333333334
1.0,255,3.0,7,4.09,16.0,0.5,0.0,3.46,20.76,0.8000000000000007,17.583333333333336
5.0,112,6.0,37,1.25,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,7.350000000000001
5.0,260,6.0,82,0.6,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.583333333333329
5.0,82,5.0,56,1.1,5.5,0.5,0.0,2.0,8.8,0.8000000000000007,5.200000000000003
1.0,82,1.0,129,0.63,4.0,0.5,0.0,0.0,5.3,0.7999999999999998,2.833333333333334
4.0,260,5.0,7,3.29,12.0,0.5,0.0,0.0,13.3,0.8000000000000007,9.43333333333333
6.0,7,6.0,7,0.46,4.0,0.5,0.0,0.0,5.3,0.7999999999999998,2.0166666666666657
0.0,42,0.0,74,0.29,3.0,0.5,0.0,0.0,4.3,0.7999999999999998,0.5333333333333332
4.0,82,7.0,102,8.67,26.5,0.5,0.0,5.56,33.36,0.7999999999999972,23.316666666666663
0.0,42,2.0,230,6.55,20.5,0.5,0.0,0.0,21.8,0.8000000000000007,16.216666666666665
5.0,217,6.0,256,0.83,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,2.9499999999999957
1.0,7,1.0,7,0.89,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.0
1.0,82,2.0,70,3.06,11.0,0.5,0.0,2.46,14.76,0.7999999999999989,8.166666666666666
0.0,130,0.0,215,0.91,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.0666666666666664
1.0,82,1.0,83,0.86,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.35
5.0,106,9.0,244,17.01,47.5,0.5,0.0,0.0,48.8,0.7999999999999972,34.73333333333334
0.0,223,0.0,7,1.14,6.0,0.5,0.0,2.19,9.49,0.8000000000000007,6.083333333333334
4.0,223,5.0,223,1.12,5.5,0.5,0.0,1.0,7.8,0.7999999999999998,4.06666666666667
5.0,223,6.0,129,1.41,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,6.533333333333331
3.0,256,5.0,170,4.81,17.0,0.5,0.0,5.49,23.79,0.7999999999999972,17.65
2.0,7,4.0,48,5.04,18.5,0.5,0.0,3.96,25.71,2.75,20.283333333333335
4.0,7,4.0,7,1.07,6.0,0.5,0.0,3.0,10.3,0.8000000000000007,4.93333333333333
3.0,7,3.0,7,1.02,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,6.433333333333337
5.0,244,7.0,41,3.9,14.5,0.5,0.0,3.15,18.95,0.8000000000000007,15.600000000000001
0.0,7,0.0,7,0.74,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,4.0
5.0,7,6.0,179,1.97,8.5,0.5,0.0,0.0,9.8,0.8000000000000007,8.900000000000006
0.0,75,0.0,75,0.47,3.5,0.5,0.0,1.44,6.24,0.8000000000000007,0.9333333333333331
1.0,41,1.0,166,1.53,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,5.550000000000001
0.0,181,0.0,61,1.23,6.5,0.5,0.0,2.0,9.8,0.8000000000000007,6.516666666666666
2.0,66,3.0,114,2.76,11.5,0.5,0.0,2.56,15.36,0.7999999999999989,11.883333333333333
1.0,25,3.0,89,3.33,14.5,0.5,0.0,3.16,18.96,0.8000000000000007,18.083333333333336
4.0,244,5.0,48,6.59,20.0,0.5,0.0,0.0,21.3,0.8000000000000007,14.149999999999999
3.0,75,4.0,75,0.55,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.1999999999999957
5.0,25,6.0,225,2.49,11.5,0.5,0.0,2.56,15.36,0.7999999999999989,13.56666666666667
1.0,127,1.0,127,0.53,4.0,0.5,0.0,1.0,6.3,0.7999999999999998,3.049999999999999
4.0,127,5.0,243,1.33,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,7.733333333333327
3.0,80,4.0,157,3.26,13.0,0.5,0.0,0.0,14.3,0.8000000000000007,14.300000000000004
2.0,7,2.0,7,0.69,4.0,0.5,0.0,1.0,6.3,0.7999999999999998,2.8166666666666664
5.0,61,8.0,221,0.09,30.0,0.0,0.0,0.0,30.0,0.0,35.56666666666667
2.0,61,4.0,226,6.89,21.5,0.5,0.0,4.56,29.31,2.75,18.433333333333337
6.0,80,6.0,255,1.16,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.016666666666666
0.0,130,1.0,216,2.41,9.0,0.5,0.0,0.0,10.3,0.8000000000000007,5.616666666666667
2.0,130,3.0,215,0.98,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.150000000000002
2.0,97,3.0,189,0.94,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.233333333333334
0.0,82,1.0,157,1.22,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.55
2.0,17,2.0,17,0.7,5.5,0.5,0.0,0.68,9.43,2.75,5.866666666666667
2.0,74,3.0,116,2.1,10.0,0.5,0.0,0.0,11.3,0.8000000000000007,10.666666666666664
0.0,181,1.0,61,2.0,8.0,0.5,0.0,2.32,11.62,0.7999999999999989,7.416666666666667
3.0,25,4.0,257,2.96,12.5,0.5,0.0,6.0,19.8,0.8000000000000007,14.166666666666664
4.0,223,131.0,7,0.91,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,1271.4
3.0,244,4.0,244,0.78,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.883333333333333
1.0,225,1.0,49,1.93,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,7.866666666666665
0.0,244,2.0,137,10.63,29.5,0.5,0.0,5.0,35.8,0.7999999999999972,17.866666666666667
0.0,255,0.0,80,0.98,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.0
3.0,173,4.0,134,5.4,17.0,0.5,0.0,0.0,18.3,0.8000000000000007,12.316666666666663
1.0,97,2.0,88,3.02,12.0,0.5,0.0,0.0,13.3,0.8000000000000007,10.900000000000002
4.0,212,4.0,182,0.6,4.5,0.5,0.0,1.16,6.96,0.7999999999999998,3.6499999999999986
2.0,80,4.0,198,3.21,12.5,0.5,0.0,3.45,17.25,0.8000000000000007,12.883333333333333
3.0,33,4.0,61,3.93,13.5,0.5,0.0,3.7,18.5,0.8000000000000007,13.416666666666664
2.0,146,2.0,226,0.71,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.866666666666667
0.0,159,0.0,159,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.1333333333333333
2.0,7,2.0,7,1.33,6.0,0.5,0.0,1.46,8.76,0.7999999999999998,5.25
3.0,7,4.0,7,1.24,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.033333333333331
3.0,130,5.0,205,3.34,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,12.866666666666667
0.0,25,1.0,188,2.02,9.0,0.5,0.0,1.0,11.3,0.8000000000000007,8.783333333333331
3.0,97,3.0,97,1.0,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.683333333333334
2.0,61,2.0,61,0.77,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.8999999999999986
0.0,65,2.0,225,4.4,17.5,0.5,0.0,0.0,18.8,0.8000000000000007,22.75
4.0,177,5.0,37,2.03,9.0,0.5,0.0,0.0,10.3,0.8000000000000007,10.683333333333337
0.0,83,141.0,56,2.33,10.0,0.5,0.0,0.0,11.3,0.8000000000000007,1401.3666666666666
4.0,82,5.0,76,6.0,19.0,0.5,0.0,0.0,20.3,0.8000000000000007,15.883333333333333
3.0,159,4.0,42,1.61,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,6.799999999999997
3.0,7,3.0,7,0.93,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.800000000000004
1.0,82,1.0,129,1.41,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,6.649999999999999
3.0,255,4.0,112,1.19,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,4.583333333333336
4.0,82,5.0,129,0.61,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,6.699999999999996
5.0,134,5.0,197,1.23,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,4.43333333333333
0.0,41,1.0,239,2.21,9.5,0.5,0.0,2.7,13.5,0.8000000000000007,9.35
4.0,41,5.0,41,0.89,6.0,0.5,0.0,1.46,8.76,0.7999999999999998,6.033333333333331
2.0,244,3.0,141,8.26,24.5,0.5,0.0,5.16,30.96,0.8000000000000007,16.983333333333334
1.0,95,2.0,135,1.78,7.5,0.5,0.0,2.2,11.0,0.8000000000000007,5.933333333333332
3.0,95,4.0,197,2.42,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,11.383333333333333
1.0,75,1.0,262,0.82,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,2.0500000000000007
3.0,41,4.0,151,1.28,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,3.93333333333333
4.0,95,6.0,145,8.71,27.0,0.5,0.0,0.0,28.3,0.8000000000000007,20.66666666666667
1.0,74,2.0,7,4.54,14.5,0.5,5.76,0.0,21.56,0.8000000000000007,11.583333333333332
1.0,74,3.0,244,3.1,13.5,0.5,0.0,2.95,17.75,0.8000000000000007,15.149999999999999
3.0,210,4.0,210,1.45,7.0,0.5,0.0,2.08,10.38,0.8000000000000007,7.5
1.0,189,3.0,65,2.43,13.0,0.5,0.0,0.0,14.3,0.8000000000000007,17.249999999999996
0.0,52,2.0,145,6.06,18.5,0.5,0.0,3.96,23.76,0.8000000000000007,13.366666666666667
5.0,83,6.0,196,2.42,10.0,0.5,0.0,2.26,13.56,0.8000000000000007,9.983333333333341
1.0,256,2.0,37,2.11,10.0,0.5,0.0,0.0,11.3,0.8000000000000007,12.499999999999998
4.0,255,6.0,181,5.7,18.5,0.5,0.0,3.5,23.3,0.8000000000000007,17.16666666666667
5.0,95,5.0,135,2.15,8.0,0.5,0.0,1.0,10.3,0.8000000000000007,5.316666666666663
3.0,184,4.0,58,1.2,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.100000000000001
2.0,95,3.0,95,1.3,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.550000000000001
3.0,95,4.0,135,0.9,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.183333333333337
5.0,181,6.0,227,2.26,10.0,0.5,0.0,3.39,14.69,0.7999999999999989,10.600000000000001
0.0,181,0.0,181,0.68,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,3.2333333333333334
2.0,256,5.0,72,5.44,19.0,0.5,0.0,0.0,20.3,0.8000000000000007,21.5
0.0,75,2.0,167,6.39,21.5,0.5,0.0,0.0,22.8,0.8000000000000007,19.733333333333334
4.0,74,5.0,238,2.66,10.5,0.5,0.0,1.0,12.8,0.8000000000000007,9.766666666666666
0.0,74,0.0,263,1.3,5.5,0.5,0.0,1.35,8.15,0.8000000000000007,3.366666666666667
3.0,7,3.0,226,1.3,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.433333333333337
1.0,41,2.0,159,2.1,10.0,0.5,0.0,0.0,11.3,0.8000000000000007,10.200000000000003
4.0,82,5.0,83,1.3,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,10.449999999999996
1.0,168,1.0,159,0.4,12.0,0.0,0.0,0.0,12.0,0.0,1.8833333333333329
1.0,82,2.0,56,2.67,11.0,0.5,0.0,0.0,12.3,0.8000000000000007,12.950000000000001
2.0,129,2.0,56,1.6,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,6.900000000000002
0.0,256,2.0,36,3.36,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,14.166666666666668
4.0,7,4.0,179,1.0,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.766666666666666
5.0,41,6.0,75,1.5,8.5,0.5,0.0,0.0,9.8,0.8000000000000007,9.56666666666667
1.0,255,3.0,112,1.89,9.5,0.5,0.0,2.16,12.96,0.8000000000000007,13.033333333333331
0.0,42,1.0,159,1.6,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.666666666666666
4.0,255,4.0,112,1.31,6.5,0.5,0.0,1.95,9.75,0.8000000000000007,5.7833333333333385
6.0,256,6.0,112,1.62,7.5,0.5,0.0,1.76,10.56,0.8000000000000007,7.083333333333336
0.0,42,1.0,116,1.14,5.5,0.5,0.0,1.7,8.5,0.7999999999999998,4.366666666666666
0.0,95,2.0,121,3.41,13.0,0.5,0.0,3.58,17.88,0.8000000000000007,12.750000000000002
2.0,49,3.0,188,1.93,8.5,0.5,0.0,1.96,11.76,0.7999999999999989,8.7
0.0,255,2.0,164,6.2,18.5,0.5,0.0,3.95,23.75,0.8000000000000007,20.599999999999998
1.0,256,2.0,17,1.66,8.0,0.5,0.0,1.86,11.16,0.8000000000000007,8.533333333333331
3.0,130,5.0,205,4.25,14.5,0.5,0.0,1.0,16.8,0.8000000000000007,14.699999999999996
2.0,145,3.0,7,1.72,8.5,0.5,0.0,2.0,11.8,0.8000000000000007,10.166666666666668
4.0,145,5.0,179,2.39,9.5,0.5,0.0,0.0,10.8,0.8000000000000007,9.216666666666661
0.0,41,3.0,255,10.94,33.5,0.5,0.0,0.0,34.8,0.7999999999999972,30.31666666666667
3.0,25,7.0,56,10.36,39.0,0.5,0.0,0.0,40.3,0.7999999999999972,38.6
1.0,223,2.0,223,1.1,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.5
4.0,223,4.0,223,1.1,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.6999999999999957
5.0,223,6.0,223,0.7,4.5,0.5,0.0,1.15,6.95,0.7999999999999998,3.0166666666666657
0.0,223,0.0,7,1.08,5.5,0.5,0.0,2.04,8.84,0.8000000000000007,4.866666666666666
1.0,7,3.0,129,3.31,14.5,0.5,0.0,0.0,15.8,0.8000000000000007,16.133333333333333
4.0,7,4.0,179,1.81,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,7.43333333333333
0.0,129,0.0,82,0.47,4.0,0.5,0.0,0.0,5.3,0.7999999999999998,3.3166666666666664
2.0,82,3.0,7,2.48,11.0,0.5,0.0,0.0,12.3,0.8000000000000007,12.983333333333338
0.0,130,1.0,197,1.07,6.0,0.5,0.0,0.0,7.3,0.7999999999999998,5.15
0.0,212,1.0,208,2.37,12.0,0.0,0.0,0.12,12.12,0.0,8.266666666666666
3.0,116,3.0,166,1.73,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,5.799999999999997
3.0,260,4.0,260,0.83,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.700000000000003
1.0,74,2.0,262,2.6,10.5,0.5,0.0,1.77,13.57,0.8000000000000007,10.233333333333334
4.0,74,4.0,166,0.8,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,4.916666666666664
1.0,95,2.0,173,4.79,16.0,0.5,0.0,0.0,17.3,0.8000000000000007,13.133333333333333
2.0,247,2.0,69,0.62,4.0,0.5,0.0,1.06,6.36,0.7999999999999998,2.5666666666666664
0.0,255,4.0,37,5.58,22.5,0.5,0.0,0.0,23.8,0.8000000000000007,32.13333333333333
4.0,36,6.0,232,5.4,18.0,0.5,0.0,0.0,19.3,0.8000000000000007,16.416666666666664
0.0,129,1.0,173,0.82,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,10.316666666666666
2.0,228,5.0,61,9.96,31.0,0.5,0.0,0.0,32.3,0.7999999999999972,30.55
0.0,223,0.0,179,1.11,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,7.133333333333334
5.0,223,7.0,173,3.94,14.0,0.5,0.0,0.0,15.3,0.8000000000000007,13.099999999999994
2.0,7,3.0,129,1.54,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.583333333333332
0.0,7,0.0,223,1.67,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,6.916666666666666
5.0,255,6.0,17,2.1,9.0,0.5,0.0,0.0,10.3,0.8000000000000007,8.116666666666667
4.0,145,6.0,37,6.03,21.5,0.5,0.0,4.56,27.36,0.8000000000000007,24.049999999999997
2.0,7,5.0,82,4.55,19.0,0.5,0.0,0.0,20.3,0.8000000000000007,23.883333333333336
1.0,95,2.0,19,8.71,25.5,0.5,0.0,0.0,26.8,0.8000000000000007,14.816666666666666
3.0,264,3.0,177,0.0,10.0,0.0,0.0,2.06,12.36,0.2999999999999989,0.03333333333333144
4.0,7,5.0,129,2.7,11.0,0.5,0.0,0.0,12.3,0.8000000000000007,11.833333333333329
0.0,179,1.0,179,0.81,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,5.550000000000001
1.0,179,2.0,193,1.45,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,5.833333333333332
3.0,7,4.0,226,1.51,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.31666666666667
3.0,82,3.0,157,1.49,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,7.033333333333331
1.0,82,2.0,70,3.14,11.0,0.5,0.0,2.46,14.76,0.7999999999999989,7.449999999999999
1.0,74,1.0,74,0.7,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,2.3333333333333357
2.0,65,4.0,63,15.95,43.0,0.5,0.0,0.0,44.3,0.7999999999999972,27.216666666666665
4.0,255,5.0,112,0.77,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.9666666666666686
4.0,255,5.0,17,1.72,8.5,0.5,0.0,1.5,11.3,0.8000000000000007,8.899999999999999
1.0,74,1.0,75,0.58,3.5,0.5,0.0,0.0,4.8,0.7999999999999998,1.7833333333333332
1.0,7,1.0,226,1.08,6.0,0.5,0.0,1.82,9.12,0.7999999999999989,5.25
0.0,226,1.0,260,1.35,8.0,0.5,0.0,0.0,9.3,0.8000000000000007,9.883333333333333
2.0,260,2.0,82,0.52,3.5,0.5,0.0,0.0,4.8,0.7999999999999998,1.7666666666666657
0.0,179,0.0,179,0.83,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.8
5.0,223,6.0,7,0.54,4.0,0.5,0.0,1.59,6.89,0.7999999999999998,2.366666666666667
0.0,181,0.0,181,0.78,5.5,0.5,0.0,2.04,8.84,0.8000000000000007,4.983333333333333
3.0,65,6.0,37,4.87,19.5,0.5,0.0,1.04,21.84,0.8000000000000007,25.733333333333334
2.0,223,3.0,82,2.89,12.0,0.5,0.0,0.0,13.3,0.8000000000000007,12.399999999999999
1.0,74,1.0,74,0.0,71.5,0.0,0.0,8.5,80.0,0.0,0.41666666666666785
2.0,223,3.0,7,1.43,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.966666666666665
1.0,225,1.0,225,0.6,4.0,0.5,0.0,1.05,6.35,0.7999999999999998,2.7666666666666657
3.0,95,3.0,95,0.93,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.016666666666666
5.0,95,5.0,95,0.04,2.5,0.5,0.0,0.0,3.8,0.7999999999999998,0.15000000000000568
2.0,97,3.0,106,1.32,6.5,0.5,0.0,0.0,7.8,0.7999999999999998,5.700000000000003
4.0,97,6.0,35,4.57,16.5,0.5,0.0,0.0,17.8,0.8000000000000007,18.71666666666667
5.0,95,6.0,28,1.5,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,5.716666666666669
4.0,223,5.0,8,0.61,4.0,0.5,0.0,0.0,5.3,0.7999999999999998,2.8000000000000043
0.0,41,2.0,48,3.74,13.0,0.5,0.0,2.14,16.44,0.8000000000000007,12.249999999999998
0.0,256,1.0,198,2.79,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,10.466666666666667
1.0,25,2.0,52,0.66,4.5,0.5,0.0,1.16,6.96,0.7999999999999998,3.4499999999999993
2.0,173,6.0,74,8.7,30.0,0.5,0.0,0.0,31.3,0.8000000000000007,34.46666666666667
1.0,74,1.0,42,0.93,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,3.7166666666666686
6.0,74,6.0,42,0.65,5.0,0.5,0.0,0.0,6.3,0.7999999999999998,4.866666666666667
5.0,92,137.0,92,0.34,10.0,0.0,0.0,2.0,12.0,0.0,1311.0666666666666
1.0,223,3.0,234,6.17,21.0,0.5,0.0,0.0,22.3,0.8000000000000007,22.283333333333335
3.0,255,3.0,255,0.4,3.5,0.5,0.0,0.95,5.75,0.7999999999999998,2.1666666666666643
2.0,129,2.0,129,0.2,3.0,0.5,0.0,0.0,4.3,0.7999999999999998,1.5166666666666657
4.0,129,5.0,173,1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.216666666666661
4.0,212,4.0,182,0.09,7.0,0.0,0.0,0.0,7.0,0.0,0.04999999999999716
0.0,49,0.0,61,0.0,3.0,0.5,0.0,1.29,5.59,0.7999999999999998,1.916666666666667
5.0,49,7.0,112,0.0,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,16.566666666666663
0.0,181,1.0,188,2.3,9.0,0.5,0.0,2.05,12.35,0.7999999999999989,7.550000000000001
2.0,181,2.0,181,2.3,2.5,0.5,0.0,0.0,3.8,0.7999999999999998,0.1999999999999993
3.0,41,3.0,42,0.78,4.5,0.5,0.0,0.0,5.8,0.7999999999999998,2.3333333333333357
4.0,42,4.0,159,1.45,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,6.466666666666669
1.0,74,1.0,24,1.35,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,7.35
1.0,260,2.0,260,0.33,4.0,0.5,0.0,0.0,5.3,0.7999999999999998,2.6499999999999986
2.0,260,3.0,226,0.66,5.0,0.5,0.0,1.26,7.56,0.7999999999999998,4.066666666666666
1.0,49,2.0,144,3.35,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,10.616666666666667
4.0,255,5.0,33,5.51,18.0,0.5,0.0,0.0,19.3,0.8000000000000007,14.100000000000001
0.0,7,2.0,75,5.17,17.5,0.5,0.0,3.76,22.56,0.8000000000000007,15.583333333333334
1.0,181,2.0,228,2.75,10.5,0.5,0.0,0.0,11.8,0.8000000000000007,7.633333333333333
2.0,260,3.0,70,4.9,15.5,0.5,0.0,0.0,16.8,0.8000000000000007,9.55
3.0,129,4.0,82,1.3,7.5,0.5,0.0,0.0,8.8,0.8000000000000007,7.949999999999996
2.0,223,3.0,223,0.36,3.5,0.5,0.0,0.0,4.8,0.7999999999999998,1.6000000000000014
1.0,82,3.0,226,2.77,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,14.2
5.0,129,7.0,92,3.4,14.0,0.5,0.0,0.0,15.3,0.8000000000000007,16.199999999999996
2.0,255,3.0,17,3.51,13.0,0.5,0.0,2.86,17.16,0.8000000000000007,14.866666666666667
3.0,223,7.0,150,23.5,62.0,0.5,0.0,9.5,72.8,0.7999999999999972,37.26666666666667
2.0,181,5.0,14,6.0,25.0,0.5,0.0,5.26,31.56,0.8000000000000007,33.5
2.0,177,3.0,177,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.28333333333333144
4.0,82,5.0,129,0.77,7.0,0.5,0.0,0.0,8.3,0.8000000000000007,8.366666666666667
1.0,74,2.0,263,1.23,5.5,0.5,0.0,0.0,6.8,0.7999999999999998,3.166666666666668
4.0,130,5.0,121,2.46,9.5,0.5,0.0,2.16,12.96,0.8000000000000007,9.016666666666666
4.0,82,5.0,173,2.04,9.0,0.5,0.0,0.0,10.3,0.8000000000000007,9.850000000000001
1.0,236,1.0,237,1.45,7.5,0.5,0.0,1.0,9.8,0.8000000000000007,6.550000000000001
2.0,95,4.0,121,2.72,11.0,0.5,0.0,0.0,12.3,0.8000000000000007,12.233333333333334
4.0,135,6.0,92,2.6,12.5,0.5,0.0,0.0,13.8,0.8000000000000007,16.083333333333336
2.0,74,2.0,74,0.25,3.0,0.5,0.0,0.0,4.3,0.7999999999999998,1.6833333333333336
